n_corner,n_h_corner,n_contour,a_rect,a_hull,a_approx,l_perimeters,wide/length,perim/a_rect,perim/a_hull,perim/a_appx,corner/a_rect,corner/a_hull,corner/a_appx,corner/l_perim,h_corner/a_rect,h_corner/a_hull,h_corner/a_appx,h_corner/l_perim,extent,solidity,labels
70,523,5,65025.0,65025.0,49946.5,1768.7249574661255,1.0,0.027200691387406776,0.027200691387406776,0.03541239040705806,0.0010765090349865436,0.0010765090349865436,0.0014014996045768973,0.03957653206877454,0.008043060361399462,0.008043060361399462,0.010471204188481676,0.2956932324567012,0.7681122645136486,0.7681122645136486,0
68,435,1,65025.0,65025.0,48289.0,1795.068103313446,1.0,0.02760581473761547,0.02760581473761547,0.03717343708325801,0.0010457516339869282,0.0010457516339869282,0.0014081882002112281,0.03788157110835041,0.006689734717416378,0.006689734717416378,0.00900826275135124,0.2423306387078298,0.7426220684352173,0.7426220684352173,0
71,503,2,65025.0,65025.0,48522.5,1667.5117543935776,1.0,0.025644163850727836,0.025644163850727836,0.034365742787234324,0.0010918877354863514,0.0010918877354863514,0.0014632387036941626,0.04257841050471066,0.007735486351403306,0.007735486351403306,0.010366324900819207,0.301647049068584,0.7462129950019223,0.7462129950019223,0
66,525,3,65025.0,65025.0,48305.0,1675.7543950080872,1.0,0.02577092495206593,0.02577092495206593,0.03469111675826699,0.0010149942329873126,0.0010149942329873126,0.0013663181865231342,0.039385246547231335,0.008073817762399077,0.008073817762399077,0.010868440120070386,0.31329173389843107,0.7428681276432142,0.7428681276432142,0
46,254,2,34424.98809814546,33387.0,31424.0,875.0954529047012,1.8888890898277204,0.025420356004475838,0.026210664417428975,0.027847996846509078,0.0013362386609649432,0.0013777817713481295,0.0014638492871690428,0.05256569423062634,0.0073783613018499035,0.007607751520052715,0.008082993890020367,0.2902540507517194,0.9128252974383125,0.9412046604966005,0
38,261,2,65025.0,60708.0,50942.0,1696.558436870575,1.0,0.026090864081054592,0.027946208685355717,0.03330372652959395,0.0005843906189926952,0.0006259471568821242,0.0007459463703820031,0.022398285360623212,0.004013840830449827,0.004299268630164064,0.005123473754465863,0.15384085471375417,0.7834217608612072,0.839131580681294,0
95,2056,10,30341.6282577347,22434.5,17816.0,892.6904675960541,3.294955126485574,0.02942131055107397,0.03979096782170559,0.05010611066434969,0.0031310119283325727,0.004234549466223896,0.005332285585990121,0.10641986606603698,0.06776168973317652,0.09164456529006663,0.11540188594521779,2.303149943492337,0.5871800896334012,0.7941340346341572,0
47,280,2,65025.0,65025.0,49384.0,1763.955405473709,1.0,0.027127341875797142,0.027127341875797142,0.035719168262467786,0.000722798923490965,0.000722798923490965,0.0009517252551433662,0.026644664515982013,0.0043060361399461745,0.0043060361399461745,0.00566985258383282,0.1587341715845737,0.7594617454825068,0.7594617454825068,0
51,347,4,65025.0,65025.0,65025.0,1020.8284270763397,1.0,0.01569901464169688,0.01569901464169688,0.01569901464169688,0.000784313725490196,0.000784313725490196,0.000784313725490196,0.04995942378491985,0.0053364090734332945,0.0053364090734332945,0.0053364090734332945,0.3399200010464154,1.0,1.0,0
83,448,5,65025.0,39621.0,24259.0,1028.05591070652,1.0,0.015810163947812688,0.025947247941912624,0.04237833013341523,0.0012764321414840446,0.0020948486913505465,0.003421410610495074,0.08073490861305312,0.006889657823913879,0.011307135105121022,0.018467372933756544,0.43577396456202167,0.3730718954248366,0.6122763181141314,0
46,199,2,65025.0,65025.0,48212.5,1785.570629477501,1.0,0.02745975593198771,0.02745975593198771,0.03703542918283642,0.0007074202229911573,0.0007074202229911573,0.0009541094114596837,0.02576207249413632,0.0030603613994617455,0.0030603613994617455,0.0041275602800103705,0.1114489657898506,0.7414455978469819,0.7414455978469819,0
41,186,2,65025.0,65025.0,48550.0,1742.8843377828598,1.0,0.026803296236568394,0.026803296236568394,0.035898750520759214,0.0006305267204921184,0.0006305267204921184,0.0008444902162718847,0.023524223100287022,0.0028604382929642443,0.0028604382929642443,0.003831101956745623,0.10671964625983868,0.746635909265667,0.746635909265667,0
44,241,5,20778.163330595708,14336.5,12242.5,675.4873691797256,2.2468982828124395,0.03250948404015455,0.04711661627173478,0.05517560703938947,0.002117607764455788,0.003069089387228403,0.003594037165611599,0.06513815358743297,0.011598715255314656,0.016810239598228298,0.019685521748008986,0.3567794321493487,0.5892002967352268,0.8539392459805392,0
42,188,15,14918.455723071238,11323.5,9845.5,549.7888848781586,0.6438507653745276,0.03685293538981489,0.04855291075004712,0.055841641854467376,0.002815304799614576,0.0037091005431182937,0.004265908282971916,0.07639295947081183,0.012601840531608103,0.01660264052633903,0.019095018028540956,0.34194943763125296,0.6599543667763169,0.8694749856493134,0
